************************************************************************
        TABLE OF ISOTOPES  0.100E+00  0.100E+03

        NO. SYMBOL T/F MASSNR PROTON
        1100  =  NGIS           5  =  ISOMERS
         336   ZR 91     T   91.    40.   1
         337   ZR 92     T   92.    40.   1
         338   ZR 93     T   93.    40.   1
         339   ZR 94     T   94.    40.   1
         340   ZR 95     T   95.    40.   1
         341   ZR 96     T   96.    40.   1
         342   ZR 97     T   97.    40.   1
         343   ZR 98     T   98.    40.   1
         344   NB 89     T   89.    41.   1
         345   NB 90     T   90.    41.   1
         346   NB 91     T   91.    41.   1
         347   NB 92     T   92.    41.   1
         348   NB 93     T   93.    41.   1
         349   NB 94     T   94.    41.   1
         350   NB 95     T   95.    41.   1
         351   NB 96     T   96.    41.   1
         352   NB 97     T   97.    41.   1
         353   NB 98     T   98.    41.   1
         354   NB 99     T   99.    41.   1
         355   MO 90     T   90.    42.   1
         356   MO 91     T   91.    42.   1
         357   MO 92     T   92.    42.   1
         358   MO 93     T   93.    42.   1
         359   MO 94     T   94.    42.   1
         360   MO 95     T   95.    42.   1
         361   MO 96     T   96.    42.   1
         362   MO 97     T   97.    42.   1
         363   MO 98     T   98.    42.   1
         364   MO 99     T   99.    42.   1
         365   MO100     T  100.    42.   1
         366   MO101     T  101.    42.   1
         367   MO102     T  102.    42.   1
         368   TC 93     T   93.    43.   1
         369   TC 94     T   94.    43.   1
         370   TC 95     T   95.    43.   1
         371   TC 96     T   96.    43.   1
         372   TC 97     T   97.    43.   1
         373   TC 98     T   98.    43.   1
         374   TC 99     T   99.    43.   1
         375   TC100     T  100.    43.   1
         376   TC101     T  101.    43.   1
         377   TC102     T  102.    43.   1
         378   TC103     T  103.    43.   1
         379   TC104     T  104.    43.   1
         380   TC105     T  105.    43.   1
         381   RU 94     T   94.    44.   1
         382   RU 95     T   95.    44.   1
         383   RU 96     T   96.    44.   1
         384   RU 97     T   97.    44.   1
         385   RU 98     T   98.    44.   1
         386   RU 99     T   99.    44.   1
         387   RU100     T  100.    44.   1
         388   RU101     T  101.    44.   1
         389   RU102     T  102.    44.   1
         390   RU103     T  103.    44.   1
         391   RU104     T  104.    44.   1
         392   RU105     T  105.    44.   1
         393   RU106     T  106.    44.   1
         394   RH 98     T   98.    45.   1
         395   RH 99     T   99.    45.   1
         396   RH100     T  100.    45.   1
         397   RH101     T  101.    45.   1
         398   RH102     T  102.    45.   1
         399   RH103     T  103.    45.   1
         400   RH104     T  104.    45.   1
         401   RH105     T  105.    45.   1
         402   RH106     T  106.    45.   1
         403   RH107     T  107.    45.   1
         404   RH108     T  108.    45.   1
         405   PD 99     T   99.    46.   1
         406   PD100     T  100.    46.   1
         407   PD101     T  101.    46.   1
         408   PD102     T  102.    46.   1
         409   PD103     T  103.    46.   1
         410   PD104     T  104.    46.   1
         411   PD105     T  105.    46.   1
         412   PD106     T  106.    46.   1
         413   PD107     T  107.    46.   1
         414   PD108     T  108.    46.   1
         415   PD109     T  109.    46.   1
         416   PD110     T  110.    46.   1
         417   PD111     T  111.    46.   1
         418   PD112     T  112.    46.   1
         419   AG101     T  101.    47.   1
         420   AG102     T  102.    47.   1
         421   AG103     T  103.    47.   1
         422   AG104     T  104.    47.   1
         423   AG105     T  105.    47.   1
         424   AG106     T  106.    47.   1
         425   AG107     T  107.    47.   1
         426   AG108     T  108.    47.   1
         427   AG109     T  109.    47.   1
         428   AG110     T  110.    47.   1
         429   AG111     T  111.    47.   1
         430   AG112     T  112.    47.   1
         431   AG113     T  113.    47.   1
         432   CD102     T  102.    48.   1
         433   CD103     T  103.    48.   1
         434   CD104     T  104.    48.   1
         435   CD105     T  105.    48.   1
         436   CD106     T  106.    48.   1
         437   CD107     T  107.    48.   1
         438   CD108     T  108.    48.   1
         439   CD109     T  109.    48.   1
         440   CD110     T  110.    48.   1
         441   CD111     T  111.    48.   1
         442   CD112     T  112.    48.   1
         443   CD113     T  113.    48.   1
         444   CD114     T  114.    48.   1
         445   CD115     T  115.    48.   1
         446   CD116     T  116.    48.   1
         447   CD117     T  117.    48.   1
         448   CD118     T  118.    48.   1
         449   IN106     T  106.    49.   1
         450   IN107     T  107.    49.   1
         451   IN108     T  108.    49.   1
         452   IN109     T  109.    49.   1
         453   IN110     T  110.    49.   1
         454   IN111     T  111.    49.   1
         455   IN112     T  112.    49.   1
         456   IN113     T  113.    49.   1
         457   IN114     T  114.    49.   1
         458   IN115     T  115.    49.   1
         459   IN116     T  116.    49.   1
         460   IN117     T  117.    49.   1
         461   IN118     T  118.    49.   1
         462   IN119     T  119.    49.   1
         463   SN108     T  108.    50.   1
         464   SN109     T  109.    50.   1
         465   SN110     T  110.    50.   1
         466   SN111     T  111.    50.   1
         467   SN112     T  112.    50.   1
         468   SN113     T  113.    50.   1
         469   SN114     T  114.    50.   1
         470   SN115     T  115.    50.   1
         471   SN116     T  116.    50.   1
         472   SN117     T  117.    50.   1
         473   SN118     T  118.    50.   1
         474   SN119     T  119.    50.   1
         475   SN120     T  120.    50.   1
         476   SN121     T  121.    50.   1
         477   SN122     T  122.    50.   1
         478   SN123     T  123.    50.   1
         479   SN124     T  124.    50.   1
         480   SN125     T  125.    50.   1
         481   SN126     T  126.    50.   1
         482   SN127     T  127.    50.   1
         483   SN128     T  128.    50.   1
         484   SN129     T  129.    50.   1
         485   SN130     T  130.    50.   1
         486   SB112     T  112.    51.   1
         487   SB113     T  113.    51.   1
         488   SB114     T  114.    51.   1
         489   SB115     T  115.    51.   1
         490   SB116     T  116.    51.   1
         491   SB117     T  117.    51.   1
         492   SB118     T  118.    51.   1
         493   SB119     T  119.    51.   1
         494   SB120     T  120.    51.   1
         495   SB121     T  121.    51.   1
         496   SB122     T  122.    51.   1
         497   SB123     T  123.    51.   1
         498   SB124     T  124.    51.   1
         499   SB125     T  125.    51.   1
         500   SB126     T  126.    51.   1
         501   SB127     T  127.    51.   1
         502   SB128     T  128.    51.   1
         503   SB129     T  129.    51.   1
         504   SB130     T  130.    51.   1
         505   SB131     T  131.    51.   1
         506   SB132     T  132.    51.   1
         507   SB133     T  133.    51.   1
         508   TE114     T  114.    52.   1
         509   TE115     T  115.    52.   1
         510   TE116     T  116.    52.   1
         511   TE117     T  117.    52.   1
         512   TE118     T  118.    52.   1
         513   TE119     T  119.    52.   1
         514   TE120     T  120.    52.   1
         515   TE121     T  121.    52.   1
         516   TE122     T  122.    52.   1
         517   TE123     T  123.    52.   1
         518   TE124     T  124.    52.   1
         519   TE125     T  125.    52.   1
         520   TE126     T  126.    52.   1
         521   TE127     T  127.    52.   1
         522   TE128     T  128.    52.   1
         523   TE129     T  129.    52.   1
         524   TE130     T  130.    52.   1
         525   TE131     T  131.    52.   1
         526   TE132     T  132.    52.   1
         527   TE133     T  133.    52.   1
         528   TE134     T  134.    52.   1
         529   I 117     T  117.    53.   1
         530   I 118     T  118.    53.   1
         531   I 119     T  119.    53.   1
         532   I 120     T  120.    53.   1
         533   I 121     T  121.    53.   1
         534   I 122     T  122.    53.   1
         535   I 123     T  123.    53.   1
         536   I 124     T  124.    53.   1
