 initial abundance for selected isotopes
  422   0.00000E+00  AG104
  423   0.00000E+00  AG105
  424   0.00000E+00  AG106
  425   0.00000E+00  AG107
  426   0.00000E+00  AG108
  427   0.00000E+00  AG109
  428   0.00000E+00  AG110
  429   0.00000E+00  AG111
  430   0.00000E+00  AG112
  431   0.00000E+00  AG113
  432   0.00000E+00  CD102
  433   0.00000E+00  CD103
  434   0.00000E+00  CD104
  435   0.00000E+00  CD105
  436   0.00000E+00  CD106
  437   0.00000E+00  CD107
  438   0.00000E+00  CD108
  439   0.00000E+00  CD109
  440   0.00000E+00  CD110
  441   0.00000E+00  CD111
  442   0.00000E+00  CD112
  443   0.00000E+00  CD113
  444   0.00000E+00  CD114
  445   0.00000E+00  CD115
  446   0.00000E+00  CD116
  447   0.00000E+00  CD117
  448   0.00000E+00  CD118
  449   0.00000E+00  IN106
  450   0.00000E+00  IN107
  451   0.00000E+00  IN108
  452   0.00000E+00  IN109
  453   0.00000E+00  IN110
  454   0.00000E+00  IN111
  455   0.00000E+00  IN112
  456   0.00000E+00  IN113
  457   0.00000E+00  IN114
  458   0.00000E+00  IN115
  459   0.00000E+00  IN116
  460   0.00000E+00  IN117
  461   0.00000E+00  IN118
  462   0.00000E+00  IN119
  463   0.00000E+00  SN108
  464   0.00000E+00  SN109
  465   0.00000E+00  SN110
  466   0.00000E+00  SN111
  467   0.00000E+00  SN112
  468   0.00000E+00  SN113
  469   0.00000E+00  SN114
  470   0.00000E+00  SN115
  471   0.00000E+00  SN116
  472   0.00000E+00  SN117
  473   0.00000E+00  SN118
  474   0.00000E+00  SN119
  475   0.00000E+00  SN120
  476   0.00000E+00  SN121
  477   0.00000E+00  SN122
  478   0.00000E+00  SN123
  479   0.00000E+00  SN124
  480   0.00000E+00  SN125
  481   0.00000E+00  SN126
  482   0.00000E+00  SN127
  483   0.00000E+00  SN128
  484   0.00000E+00  SN129
  485   0.00000E+00  SN130
  486   0.00000E+00  SB112
  487   0.00000E+00  SB113
  488   0.00000E+00  SB114
  489   0.00000E+00  SB115
  490   0.00000E+00  SB116
  491   0.00000E+00  SB117
  492   0.00000E+00  SB118
  493   0.00000E+00  SB119
  494   0.00000E+00  SB120
  495   0.00000E+00  SB121
  496   0.00000E+00  SB122
  497   0.00000E+00  SB123
  498   0.00000E+00  SB124
  499   0.00000E+00  SB125
  500   0.00000E+00  SB126
  501   0.00000E+00  SB127
  502   0.00000E+00  SB128
  503   0.00000E+00  SB129
  504   0.00000E+00  SB130
  505   0.00000E+00  SB131
  506   0.00000E+00  SB132
  507   0.00000E+00  SB133
  508   0.00000E+00  TE114
  509   0.00000E+00  TE115
  510   0.00000E+00  TE116
  511   0.00000E+00  TE117
  512   0.00000E+00  TE118
  513   0.00000E+00  TE119
  514   0.00000E+00  TE120
  515   0.00000E+00  TE121
  516   0.00000E+00  TE122
  517   0.00000E+00  TE123
  518   0.00000E+00  TE124
  519   0.00000E+00  TE125
  520   0.00000E+00  TE126
  521   0.00000E+00  TE127
  522   0.00000E+00  TE128
  523   0.00000E+00  TE129
  524   0.00000E+00  TE130
  525   0.00000E+00  TE131
  526   0.00000E+00  TE132
  527   0.00000E+00  TE133
  528   0.00000E+00  TE134
  529   0.00000E+00  I 117
  530   0.00000E+00  I 118
  531   0.00000E+00  I 119
  532   0.00000E+00  I 120
  533   0.00000E+00  I 121
  534   0.00000E+00  I 122
  535   0.00000E+00  I 123
  536   0.00000E+00  I 124
  537   0.00000E+00  I 125
  538   0.00000E+00  I 126
  539   0.00000E+00  I 127
  540   0.00000E+00  I 128
  541   0.00000E+00  I 129
  542   0.00000E+00  I 130
  543   0.00000E+00  I 131
  544   0.00000E+00  I 132
  545   0.00000E+00  I 133
  546   0.00000E+00  I 134
  547   0.00000E+00  I 135
  548   0.00000E+00  XE118
  549   0.00000E+00  XE119
  550   0.00000E+00  XE120
  551   0.00000E+00  XE121
  552   0.00000E+00  XE122
  553   0.00000E+00  XE123
  554   0.00000E+00  XE124
  555   0.00000E+00  XE125
  556   0.00000E+00  XE126
  557   0.00000E+00  XE127
  558   0.00000E+00  XE128
  559   0.00000E+00  XE129
  560   0.00000E+00  XE130
  561   0.00000E+00  XE131
  562   0.00000E+00  XE132
  563   0.00000E+00  XE133
  564   0.00000E+00  XE134
  565   0.00000E+00  XE135
  566   0.00000E+00  XE136
  567   0.00000E+00  XE137
  568   0.00000E+00  XE138
  569   0.00000E+00  CS123
  570   0.00000E+00  CS124
  571   0.00000E+00  CS125
  572   0.00000E+00  CS126
  573   0.00000E+00  CS127
  574   0.00000E+00  CS128
  575   0.00000E+00  CS129
